Country,"GDP  (nominal, 2017)",GDP  (abbrev.),GDP   growth,Population  (2017),GDP   per capita,Share of  World GDP,Lat,Lng,Continents
Tanzania,53320625959.0,53.32,0.071,54660339,975,0.0007,-6.5247123,35.7878438,Africa
Macao,50361201096.0,50.36,0.091,622585,80890,0.0006,22.139833,113.563619,Asia
Uzbekistan,49677172714.0,49.68,0.053,31959785,1554,0.0006,41.32373,63.9528098,Asia
Slovenia,48769655479.0,48.77,0.05,2076394,23488,0.0006,45.8133113,14.4808369,Europe
Lithuania,47544459559.0,47.54,0.0383,2845414,16709,0.0006,55.3500003,23.7499997,Europe
Serbia,41431648801.0,41.43,0.0187,8829628,4692,0.0005,44.1534121,20.55144,Europe
Azerbaijan,40747792238.0,40.75,0.001,9845320,4139,0.0005,40.3936294,47.7872508,Asia
Jordan,40068308451.0,40.07,0.0197,9785843,4095,0.0005,31.1667049,36.941628,Asia
Tunisia,39952095561.0,39.95,0.0196,11433443,3494,0.0005,33.8439408,9.400138,Africa
Paraguay,39667400816.0,39.67,0.0521,6867061,5776,0.0005,-23.3165935,-58.1693445,South America
Libya,38107728083.0,38.11,0.2668,6580724,5791,0.0005,26.8234472,18.1236723,Africa
Turkmenistan,37926285714.0,37.93,0.065,5757667,6587,0.0005,39.3763807,59.3924609,Asia
DR Congo,37642482562.0,37.64,0.037,81398764,462,0.0005,-2.9814344,23.8222636,Africa
Bolivia,37508642113.0,37.51,0.042,11192855,3351,0.0005,-17.0568696,-64.9912286,South America
C?te d'Ivoire,37353276059.0,37.35,0.077,24437470,1529,0.0005,7.568978,-5.495164,Asia
Bahrain,35432686170.0,35.43,0.0388,1494076,23715,0.0004,26.1551249,50.5344606,Asia
Cameroon,34922782311.0,34.92,0.0355,24566073,1422,0.0004,4.6125522,13.1535811,Africa
Yemen,31267675216.0,31.27,-0.0594,27834819,1123,0.0004,16.3471243,47.8915271,Asia
Latvia,30463302414.0,30.46,0.0455,1951097,15613,0.0004,56.8406494,24.7537645,Europe
Estonia,26611651599.0,26.61,0.0485,1319390,20170,0.0003,58.7523778,25.3319078,Europe
Uganda,25995031850.0,26.00,0.0386,41166588,631,0.0003,1.5333554,32.2166578,Africa
Zambia,25868142073.0,25.87,0.034,16853599,1535,0.0003,-14.5189121,27.5589884,Africa
Nepal,24880266905.0,24.88,0.0791,27632681,900,0.0003,28.1083929,84.0917139,Asia
El Salvador,24805439600.0,24.81,0.0232,6388126,3883,0.0003,13.8000382,-88.9140683,North America
Iceland,24488467010.0,24.49,0.0364,334393,73233,0.0003,64.9841821,-18.1059013,Europe
Honduras,22978532897.0,22.98,0.0479,9429013,2437,0.0003,15.2572432,-86.0755145,North America
Cambodia,22158209503.0,22.16,0.071,16009409,1384,0.0003,12.5433216,104.8144914,Asia
Trinidad and Tobago,22079017627.0,22.08,-0.0234,1384059,15952,0.0003,10.7466905,-61.0840075,North America
Cyprus,22054225828.0,22.05,0.0423,1179678,18695,0.0003,34.9823018,33.1451285,Europe
Zimbabwe,22040902300.0,22.04,0.047,14236595,1548,0.0003,-18.4554963,29.7468414,Africa
